language,topic,model,n_samples,readability_mean,adequacy_mean,grammatically_correct_pct,real_words_pct,notable_error_pct
swahili,Affordable and Clean Energy,claude-sonnet-4-20250514,5,6.0,6.4,80.0,60.0,40.0
swahili,Affordable and Clean Energy,gemini-2.5-pro,5,6.4,6.4,100.0,100.0,0.0
swahili,Affordable and Clean Energy,gpt-4.1-2025-04-14,5,6.6,6.4,80.0,100.0,60.0
swahili,Affordable and Clean Energy,gpt-5-2025-08-07,5,6.4,6.8,100.0,100.0,0.0
swahili,Clean Water and Sanitation,claude-sonnet-4-20250514,5,5.0,5.4,40.0,100.0,60.0
swahili,Clean Water and Sanitation,gemini-2.5-pro,5,6.8,6.8,80.0,100.0,20.0
swahili,Clean Water and Sanitation,gpt-4.1-2025-04-14,5,6.4,6.6,100.0,100.0,40.0
swahili,Clean Water and Sanitation,gpt-5-2025-08-07,5,6.0,6.8,60.0,100.0,40.0
swahili,Climate Action,claude-sonnet-4-20250514,5,6.6,6.4,80.0,100.0,20.0
swahili,Climate Action,gemini-2.5-pro,5,6.8,6.6,80.0,100.0,20.0
swahili,Climate Action,gpt-4.1-2025-04-14,5,6.8,7.0,100.0,100.0,0.0
swahili,Climate Action,gpt-5-2025-08-07,5,5.8,6.0,60.0,100.0,60.0
swahili,Crime and Law,claude-sonnet-4-20250514,5,5.8,6.4,80.0,80.0,40.0
swahili,Crime and Law,gemini-2.5-pro,5,6.6,6.8,80.0,100.0,20.0
swahili,Crime and Law,gpt-4.1-2025-04-14,5,6.8,7.0,100.0,100.0,20.0
swahili,Crime and Law,gpt-5-2025-08-07,5,5.8,6.2,40.0,100.0,80.0
swahili,Culture,claude-sonnet-4-20250514,5,6.0,6.2,60.0,100.0,40.0
swahili,Culture,gemini-2.5-pro,5,6.4,6.8,80.0,100.0,20.0
swahili,Culture,gpt-4.1-2025-04-14,5,6.8,6.8,100.0,100.0,20.0
swahili,Culture,gpt-5-2025-08-07,5,6.6,6.8,80.0,60.0,40.0
swahili,Decent Work and Economic Growth,claude-sonnet-4-20250514,5,6.4,6.6,60.0,100.0,40.0
swahili,Decent Work and Economic Growth,gemini-2.5-pro,5,7.0,7.0,100.0,100.0,0.0
swahili,Decent Work and Economic Growth,gpt-4.1-2025-04-14,5,6.6,6.8,100.0,100.0,20.0
swahili,Decent Work and Economic Growth,gpt-5-2025-08-07,5,6.8,7.0,100.0,100.0,20.0
swahili,Disasters and Accidents,claude-sonnet-4-20250514,5,6.0,6.2,60.0,100.0,40.0
swahili,Disasters and Accidents,gemini-2.5-pro,5,6.8,7.0,80.0,100.0,20.0
swahili,Disasters and Accidents,gpt-4.1-2025-04-14,5,5.4,6.0,60.0,80.0,60.0
swahili,Disasters and Accidents,gpt-5-2025-08-07,5,6.2,6.4,60.0,100.0,40.0
swahili,Entertainment,claude-sonnet-4-20250514,5,5.6,6.0,40.0,80.0,60.0
