ID,model,target_language_name,topic,iteration,timestamp,target_language_sentence,batch_id,custom_id,model_suffix,Clarity / Readability,Naturalness / Colloquial / Context appropriateness,Formal Correctness,Critical Error,Comments (Optional),clarity_score,naturalness_score,correctness_score,has_critical_error
KQ-4230,gemini-2.5-pro,Bura-Pabir,Child health,2,2025-11-27T14:33:09.146664,Bzir wa tə mtə da gərgər i?,batches/422nbgaglf0xk9plswzzteojja833e9zldfk,req-31,gemini-2_5-pro,5 - Somewhat easy to read and understand,5 - Somewhat natural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,5,5.0,5.0,0
EF-7275,gemini-2.5-pro,Bura-Pabir,Medications,4,2025-11-27T14:33:09.146693,Ka sha magani na cida mtha a?,batches/422nbgaglf0xk9plswzzteojja833e9zldfk,req-43,gemini-2_5-pro,1 - Very difficult to read and understand (Effectively incomprehensible),,,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",different language,1,,,1
FD-5272,gemini-2.5-pro,Bura-Pabir,Vaccinations,2,2025-11-27T14:33:09.146676,Ka mza wila mpal sa allura sa mtir hathata?,batches/422nbgaglf0xk9plswzzteojja833e9zldfk,req-36,gemini-2_5-pro,1 - Very difficult to read and understand (Effectively incomprehensible),1 - Very unnatural and robotic,1 - Very heavily flawed (Severe grammatical/spelling errors),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",flawed bura pabir,1,1.0,1.0,1
JY-0968,gpt-5.1,Bura-Pabir,Child health,2,2025-11-26T22:36:29.215881,"Kətsə shiya pəra, a dáyi kəra tsə arna shəma.",batch_69277e265a388190b202e9ff5685e4fb,Bura-Pabir-Child_health-1,gpt-5_1,1 - Very difficult to read and understand (Effectively incomprehensible),1 - Very unnatural and robotic,1 - Very heavily flawed (Severe grammatical/spelling errors),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",fusion of 2 different languages,1,1.0,1.0,1
HI-8698,gpt-5.1,Bura-Pabir,Medications,4,2025-11-26T22:36:29.216153,Na wala takan panadol si ngara ma shishi buru.,batch_69277e265a388190b202e9ff5685e4fb,Bura-Pabir-Medications-3,gpt-5_1,1 - Very difficult to read and understand (Effectively incomprehensible),,,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",flawed BuraPabir,1,,,1
PD-6462,gpt-5.1,Bura-Pabir,Vaccinations,2,2025-11-26T22:36:29.215998,"Nganlimi ka shigan shibdek, ma tlim lepkuva a vaysin.",batch_69277e265a388190b202e9ff5685e4fb,Bura-Pabir-Vaccinations-1,gpt-5_1,1 - Very difficult to read and understand (Effectively incomprehensible),,,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",different language,1,,,1
PV-0322,claude-opus-4-5-20251101,Bura-Pabir,Child health,2,2025-11-27T14:33:21.167872,Yar ku wa da lafiya idan ta ci abinci mai kyau da kuma barci sosai.,msgbatch_01WFtfnXzCE1Ce9Fg1cVTvtR,Bura-Pabir-Child_health-1,claude-opus-4-5-20250514,1 - Very difficult to read and understand (Effectively incomprehensible),,,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",different language,1,,,1
KB-8193,claude-opus-4-5-20251101,Bura-Pabir,Medications,4,2025-11-27T14:33:21.168512,Ɗakita ta ce ka sha magani na biyu a kowace rana.,msgbatch_01WFtfnXzCE1Ce9Fg1cVTvtR,Bura-Pabir-Medications-3,claude-opus-4-5-20250514,1 - Very difficult to read and understand (Effectively incomprehensible),,,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",different language,1,,,1
HT-2274,claude-opus-4-5-20251101,Bura-Pabir,Vaccinations,2,2025-11-27T14:33:21.168137,Allurar rigakafi na taimaka wa yara su kasance lafiya da kariya daga cututtuka.,msgbatch_01WFtfnXzCE1Ce9Fg1cVTvtR,Bura-Pabir-Vaccinations-1,claude-opus-4-5-20250514,1 - Very difficult to read and understand (Effectively incomprehensible),,,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",different language,1,,,1
VY-6137,claude-sonnet-4-5-20250929,Bura-Pabir,Child health,2,2025-11-26T22:36:30.532445,Lawan ngura tali a hidi shili kwara ka barau ngana?,msgbatch_01F1muqzB14y75J3cffbGp4M,Bura-Pabir-Child_health-1,claude-sonnet-4-5-20250929,3 - Somewhat difficult to read and understand,3 - Somewhat unnatural,2 - Heavily flawed,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",fusion of 2 different languages,3,3.0,2.0,1
NT-8237,claude-sonnet-4-5-20250929,Bura-Pabir,Medications,4,2025-11-26T22:36:30.532966,Magani kpa na taa hyel ka pra mba su hulum?,msgbatch_01F1muqzB14y75J3cffbGp4M,Bura-Pabir-Medications-3,claude-sonnet-4-5-20250929,1 - Very difficult to read and understand (Effectively incomprehensible),1 - Very unnatural and robotic,1 - Very heavily flawed (Severe grammatical/spelling errors),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",fusion of 2 different languages,1,1.0,1.0,1
MC-8259,claude-sonnet-4-5-20250929,Bura-Pabir,Vaccinations,2,2025-11-26T22:36:30.532677,Allurar rigakafin cutar ta taimaka wajen kare lafiyar jama'a daga cututtuka masu yaduwa.,msgbatch_01F1muqzB14y75J3cffbGp4M,Bura-Pabir-Vaccinations-1,claude-sonnet-4-5-20250929,1 - Very difficult to read and understand (Effectively incomprehensible),,,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",different language,1,,,1
GK-6284,claude-haiku-4-5-20251001,Bura-Pabir,Child health,2,2025-11-26T22:36:31.140481,Yar karua dole ne in sha aiki da malami kada in kashe shi.,msgbatch_01Mk9b3etuiFhXGcEvvaRdgW,Bura-Pabir-Child_health-1,claude-haiku-4-5-20251001,1 - Very difficult to read and understand (Effectively incomprehensible),,,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",different language,1,,,1
JH-7282,claude-haiku-4-5-20251001,Bura-Pabir,Medications,1,2025-11-26T22:36:31.141543,Maganin na iya taimaka ka mubadi farin jiya ne a gida.,msgbatch_01Mk9b3etuiFhXGcEvvaRdgW,Bura-Pabir-Medications-0,claude-haiku-4-5-20251001,1 - Very difficult to read and understand (Effectively incomprehensible),,,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",different language,1,,,1
QI-0125,claude-haiku-4-5-20251001,Bura-Pabir,Vaccinations,3,2025-11-26T22:36:31.141231,Waje ka yi vaksin jiya ko jiya ba ne?,msgbatch_01Mk9b3etuiFhXGcEvvaRdgW,Bura-Pabir-Vaccinations-2,claude-haiku-4-5-20251001,1 - Very difficult to read and understand (Effectively incomprehensible),,,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",different language,1,,,1
