ID,model,target_language_name,topic,iteration,timestamp,target_language_sentence,batch_id,custom_id,model_suffix,Clarity / Readability,Naturalness / Colloquial / Context appropriateness,Formal Correctness,Critical Error,Comments (Optional),clarity_score,naturalness_score,correctness_score,has_critical_error
HC-1434,gemini-2.5-pro,Marghi,Child health,2,2025-11-27T14:33:09.146579,Wa dza ndɨ̀ ŋama ka ghə̀ lafiya.,batches/422nbgaglf0xk9plswzzteojja833e9zldfk,req-1,gemini-2_5-pro,4 - Neutral / Neither easy nor difficult to read,4 - Neutral / Neither natural nor unnatural,2 - Heavily flawed,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",not marghi,4,4,2,1
CX-6638,gemini-2.5-pro,Marghi,Medications,4,2025-11-27T14:33:09.146613,Ka sha ukyi na hyelhyel a?,batches/422nbgaglf0xk9plswzzteojja833e9zldfk,req-13,gemini-2_5-pro,2 - Difficult to read and understand,1 - Very unnatural and robotic,2 - Heavily flawed,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",not marghi,2,1,2,1
FN-7759,gemini-2.5-pro,Marghi,Vaccinations,2,2025-11-27T14:33:09.146596,Ka dza vi yaro na dsu tufa allura kuwa?,batches/422nbgaglf0xk9plswzzteojja833e9zldfk,req-6,gemini-2_5-pro,3 - Somewhat difficult to read and understand,4 - Neutral / Neither natural nor unnatural,3 - Somewhat flawed,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",not marghi,3,4,3,1
TE-9177,gpt-5.1,Marghi,Child health,2,2025-11-27T14:33:10.112936,"Kùlî wutsú wàyí, dá mûsú dá shìngárà wàlà.",batch_69277e265a388190b202e9ff5685e4fb,Marghi-Child_health-1,gpt-5_1,2 - Difficult to read and understand,4 - Neutral / Neither natural nor unnatural,4 - Neutral / Neither perfect nor heavily flawed (Average),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",,2,4,4,1
YG-6053,gpt-5.1,Marghi,Medications,4,2025-11-27T14:33:10.113234,"Na wuro Gwoza, maɓaɗi ndu léyi dawa nd’umomi.",batch_69277e265a388190b202e9ff5685e4fb,Marghi-Medications-3,gpt-5_1,2 - Difficult to read and understand,5 - Somewhat natural,2 - Heavily flawed,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",not marghi,2,5,2,1
YT-0811,gpt-5.1,Marghi,Vaccinations,2,2025-11-27T14:33:10.113083,"Ladi hwa mbara dakta shi, a yi masa allurar riga-kafi.",batch_69277e265a388190b202e9ff5685e4fb,Marghi-Vaccinations-1,gpt-5_1,3 - Somewhat difficult to read and understand,5 - Somewhat natural,3 - Somewhat flawed,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",not marghi,3,5,3,1
UJ-5454,claude-opus-4-5-20251101,Marghi,Child health,2,2025-11-27T14:33:21.165936,Yara ku sai su sha magani domin lafiyarsu ta inganta.,msgbatch_01WFtfnXzCE1Ce9Fg1cVTvtR,Marghi-Child_health-1,claude-opus-4-5-20250514,6 - Easy to read and understand,6 - Natural,5 - Somewhat correct (Minor errors),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",,6,6,5,1
YJ-7278,claude-opus-4-5-20251101,Marghi,Medications,4,2025-11-27T14:33:21.166761,Magani nda ka shu kwara hwa inda asibiti?,msgbatch_01WFtfnXzCE1Ce9Fg1cVTvtR,Marghi-Medications-3,claude-opus-4-5-20250514,5 - Somewhat easy to read and understand,5 - Somewhat natural,3 - Somewhat flawed,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",mixed hausa and not marghi,5,5,3,1
PW-9244,claude-opus-4-5-20251101,Marghi,Vaccinations,2,2025-11-27T14:33:21.166290,Àlùra sàkìnà tà kyàu gà yàrà dòmìn tà kàrè sù dàgà cùtùttùkà.,msgbatch_01WFtfnXzCE1Ce9Fg1cVTvtR,Marghi-Vaccinations-1,claude-opus-4-5-20250514,5 - Somewhat easy to read and understand,5 - Somewhat natural,5 - Somewhat correct (Minor errors),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",not marghi,5,5,5,1
GA-8787,claude-sonnet-4-5-20250929,Marghi,Child health,2,2025-11-27T14:33:10.888743,Liman na gida du zləŋ nə ptu kaɗa ka ɗaf sə guzum.,msgbatch_01F1muqzB14y75J3cffbGp4M,Marghi-Child_health-1,claude-sonnet-4-5-20250929,3 - Somewhat difficult to read and understand,2 - Unnatural,2 - Heavily flawed,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",not marghi,3,2,2,1
SA-9128,claude-sonnet-4-5-20250929,Marghi,Medications,4,2025-11-27T14:33:10.889942,Magazu nda tsun gatu nə̀ hiyau yə̀ ptal gədə̀.,msgbatch_01F1muqzB14y75J3cffbGp4M,Marghi-Medications-3,claude-sonnet-4-5-20250929,6 - Easy to read and understand,5 - Somewhat natural,5 - Somewhat correct (Minor errors),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",,6,5,5,1
