ID,model,target_language_name,topic,iteration,timestamp,target_language_sentence,batch_id,custom_id,model_suffix,Clarity / Readability,Naturalness / Colloquial / Context appropriateness,Formal Correctness,Critical Error,Comments (Optional),clarity_score,naturalness_score,correctness_score,has_critical_error
OE-7771,gemini-2.5-pro,Shuwa Arabic,Child health,2,2025-11-27T14:33:09.146621,"Al-jāhil humma ma'ā-hu, nudi-hu lil-doktor?",batches/422nbgaglf0xk9plswzzteojja833e9zldfk,req-16,gemini-2_5-pro,1 - Very difficult to read and understand (Effectively incomprehensible),1 - Very unnatural and robotic,1 - Very heavily flawed (Severe grammatical/spelling errors),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",,1,1,1,1
US-8460,gemini-2.5-pro,Shuwa Arabic,Medications,4,2025-11-27T14:33:09.146654,Al doktoor atani al dawa da le al gohha.,batches/422nbgaglf0xk9plswzzteojja833e9zldfk,req-28,gemini-2_5-pro,6 - Easy to read and understand,6 - Natural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,6,6,6,0
LG-4657,gemini-2.5-pro,Shuwa Arabic,Vaccinations,2,2025-11-27T14:33:09.146637,At-talqiiH beḥmi al-jihaal min al-maraḍ al-katar.,batches/422nbgaglf0xk9plswzzteojja833e9zldfk,req-21,gemini-2_5-pro,2 - Difficult to read and understand,1 - Very unnatural and robotic,1 - Very heavily flawed (Severe grammatical/spelling errors),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",This is hausa,2,1,1,1
ZA-0077,gpt-5.1,Shuwa Arabic,Child health,2,2025-11-26T22:36:29.215524,"Yaro ya gaɗi ciwo, mahaifiyansa ta kai shi asibiti da safe.",batch_69277e265a388190b202e9ff5685e4fb,ShuwaArabic-Child_health-1,gpt-5_1,1 - Very difficult to read and understand (Effectively incomprehensible),2 - Unnatural,1 - Very heavily flawed (Severe grammatical/spelling errors),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",,1,2,1,1
RH-1826,gpt-5.1,Shuwa Arabic,Medications,4,2025-11-26T22:36:29.215808,"Likita ya rubuta magani, ya ce in sha safe da yamma.",batch_69277e265a388190b202e9ff5685e4fb,ShuwaArabic-Medications-3,gpt-5_1,1 - Very difficult to read and understand (Effectively incomprehensible),2 - Unnatural,1 - Very heavily flawed (Severe grammatical/spelling errors),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",,1,2,1,1
GP-4198,gpt-5.1,Shuwa Arabic,Vaccinations,2,2025-11-26T22:36:29.215635,"A shīrī Maruá, likīta ya ce allurar rigakafi tana kare yāra.",batch_69277e265a388190b202e9ff5685e4fb,ShuwaArabic-Vaccinations-1,gpt-5_1,1 - Very difficult to read and understand (Effectively incomprehensible),2 - Unnatural,1 - Very heavily flawed (Severe grammatical/spelling errors),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",This is hausa,1,2,1,1
ZO-7174,claude-opus-4-5-20251101,Shuwa Arabic,Child health,2,2025-11-27T14:33:21.166926,لازم نودي الياهل للمستشفى عشان ياخذ التطعيمات حقته كل سنة.,msgbatch_01WFtfnXzCE1Ce9Fg1cVTvtR,ShuwaArabic-Child_health-1,claude-opus-4-5-20250514,1 - Very difficult to read and understand (Effectively incomprehensible),2 - Unnatural,1 - Very heavily flawed (Severe grammatical/spelling errors),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",,1,2,1,1
AN-6867,claude-opus-4-5-20251101,Shuwa Arabic,Medications,4,2025-11-27T14:33:21.167674,لازم تاخذ الدوا بتاعك كل يوم في الصباح عشان تخف من المرض.,msgbatch_01WFtfnXzCE1Ce9Fg1cVTvtR,ShuwaArabic-Medications-3,claude-opus-4-5-20250514,1 - Very difficult to read and understand (Effectively incomprehensible),2 - Unnatural,1 - Very heavily flawed (Severe grammatical/spelling errors),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",,1,2,1,1
SY-9420,claude-opus-4-5-20251101,Shuwa Arabic,Vaccinations,2,2025-11-27T14:33:21.167243,التطعيم مهم جداً عشان يحمي الأطفال من الأمراض الخطيرة في بلادنا.,msgbatch_01WFtfnXzCE1Ce9Fg1cVTvtR,ShuwaArabic-Vaccinations-1,claude-opus-4-5-20250514,1 - Very difficult to read and understand (Effectively incomprehensible),2 - Unnatural,1 - Very heavily flawed (Severe grammatical/spelling errors),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",,1,2,1,1
KZ-8156,claude-sonnet-4-5-20250929,Shuwa Arabic,Child health,2,2025-11-26T22:36:30.531442,Yaron nan yana da lafiya sosai kuma yana ci mai kyau.,msgbatch_01F1muqzB14y75J3cffbGp4M,ShuwaArabic-Child_health-1,claude-sonnet-4-5-20250929,1 - Very difficult to read and understand (Effectively incomprehensible),2 - Unnatural,1 - Very heavily flawed (Severe grammatical/spelling errors),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",This is hausa,1,2,1,1
