language,topic,model,n_samples,readability_mean,adequacy_mean,grammatically_correct_pct,real_words_pct,notable_error_pct
kanuri,Affordable and Clean Energy,claude-3-5-sonnet-20241022,5,1.0,1.0,0.0,0.0,100.0
kanuri,Affordable and Clean Energy,claude-sonnet-4-20250514,5,1.0,1.0,0.0,0.0,100.0
kanuri,Affordable and Clean Energy,gemini-2.5-pro,5,1.0,1.0,0.0,0.0,100.0
kanuri,Affordable and Clean Energy,gpt-4.1-2025-04-14,5,1.0,1.0,0.0,0.0,100.0
kanuri,Affordable and Clean Energy,gpt-5-2025-08-07,5,1.0,1.0,0.0,0.0,100.0
kanuri,Clean Water and Sanitation,claude-3-5-sonnet-20241022,5,1.0,1.0,0.0,0.0,100.0
kanuri,Clean Water and Sanitation,claude-sonnet-4-20250514,5,1.0,1.0,0.0,0.0,100.0
kanuri,Clean Water and Sanitation,gemini-2.5-pro,5,1.0,1.0,0.0,0.0,100.0
kanuri,Clean Water and Sanitation,gpt-4.1-2025-04-14,5,1.0,1.0,0.0,0.0,100.0
kanuri,Clean Water and Sanitation,gpt-5-2025-08-07,5,1.0,1.0,0.0,0.0,100.0
kanuri,Climate Action,claude-3-5-sonnet-20241022,5,1.0,1.0,0.0,0.0,100.0
kanuri,Climate Action,claude-sonnet-4-20250514,5,1.0,1.0,0.0,0.0,100.0
kanuri,Climate Action,gemini-2.5-pro,5,1.0,1.0,0.0,0.0,100.0
kanuri,Climate Action,gpt-4.1-2025-04-14,5,1.0,1.0,0.0,0.0,100.0
kanuri,Climate Action,gpt-5-2025-08-07,5,1.0,1.0,0.0,0.0,100.0
kanuri,Crime and Law,claude-3-5-sonnet-20241022,5,1.0,1.0,0.0,0.0,100.0
kanuri,Crime and Law,claude-sonnet-4-20250514,5,1.0,1.0,0.0,0.0,100.0
kanuri,Crime and Law,gemini-2.5-pro,5,1.0,1.0,0.0,0.0,100.0
kanuri,Crime and Law,gpt-4.1-2025-04-14,5,1.0,1.0,0.0,0.0,100.0
kanuri,Crime and Law,gpt-5-2025-08-07,5,1.0,1.0,0.0,0.0,100.0
kanuri,Culture,claude-3-5-sonnet-20241022,5,1.0,1.0,0.0,0.0,100.0
kanuri,Culture,claude-sonnet-4-20250514,5,1.0,1.0,0.0,0.0,100.0
kanuri,Culture,gemini-2.5-pro,5,1.0,1.0,0.0,0.0,100.0
kanuri,Culture,gpt-4.1-2025-04-14,5,1.0,1.0,0.0,0.0,100.0
kanuri,Culture,gpt-5-2025-08-07,5,1.0,1.0,0.0,0.0,100.0
kanuri,Decent Work and Economic Growth,claude-3-5-sonnet-20241022,5,1.0,1.0,0.0,0.0,100.0
kanuri,Decent Work and Economic Growth,claude-sonnet-4-20250514,5,1.0,1.0,0.0,0.0,100.0
kanuri,Decent Work and Economic Growth,gemini-2.5-pro,5,1.0,1.0,0.0,0.0,100.0
kanuri,Decent Work and Economic Growth,gpt-4.1-2025-04-14,5,1.0,1.0,0.0,0.0,100.0
kanuri,Decent Work and Economic Growth,gpt-5-2025-08-07,5,1.0,1.0,0.0,0.0,100.0
kanuri,Disasters and Accidents,claude-3-5-sonnet-20241022,5,1.2,1.4,0.0,0.0,100.0
kanuri,Disasters and Accidents,claude-sonnet-4-20250514,5,1.0,1.0,0.0,0.0,100.0
kanuri,Disasters and Accidents,gemini-2.5-pro,5,1.0,1.0,0.0,0.0,100.0
kanuri,Disasters and Accidents,gpt-4.1-2025-04-14,5,1.0,1.0,0.0,0.0,100.0
kanuri,Disasters and Accidents,gpt-5-2025-08-07,5,1.0,1.0,0.0,0.0,100.0
kanuri,Entertainment,claude-3-5-sonnet-20241022,5,1.0,1.0,0.0,0.0,100.0
kanuri,Entertainment,claude-sonnet-4-20250514,5,1.0,1.0,0.0,0.0,100.0
kanuri,Entertainment,gemini-2.5-pro,5,1.0,1.0,0.0,0.0,100.0
kanuri,Entertainment,gpt-4.1-2025-04-14,5,1.0,1.0,0.0,0.0,100.0
kanuri,Entertainment,gpt-5-2025-08-07,5,1.0,1.0,0.0,0.0,100.0
kanuri,Environment,claude-3-5-sonnet-20241022,5,1.0,1.0,0.0,0.0,100.0
kanuri,Environment,claude-sonnet-4-20250514,5,1.0,1.0,0.0,0.0,100.0
kanuri,Environment,gemini-2.5-pro,5,1.0,1.0,0.0,0.0,100.0
kanuri,Environment,gpt-4.1-2025-04-14,5,1.0,1.0,0.0,0.0,100.0
kanuri,Environment,gpt-5-2025-08-07,5,1.0,1.0,0.0,0.0,100.0
kanuri,Gender Equality,claude-3-5-sonnet-20241022,5,1.2,1.2,0.0,0.0,100.0
kanuri,Gender Equality,claude-sonnet-4-20250514,5,1.0,1.0,0.0,0.0,100.0
kanuri,Gender Equality,gemini-2.5-pro,5,1.0,1.0,0.0,0.0,100.0
kanuri,Gender Equality,gpt-4.1-2025-04-14,5,1.0,1.0,0.0,0.0,100.0
kanuri,Gender Equality,gpt-5-2025-08-07,5,1.0,1.0,0.0,0.0,100.0
