language,topic,model,n_samples,readability_mean,adequacy_mean,grammatically_correct_pct,real_words_pct,notable_error_pct
yemba,Affordable and Clean Energy,claude-sonnet-4-20250514,5,1.0,1.0,0.0,0.0,100.0
yemba,Affordable and Clean Energy,gemini-2.5-pro,5,1.0,1.0,0.0,0.0,100.0
yemba,Affordable and Clean Energy,gpt-4.1-2025-04-14,5,1.0,1.0,0.0,0.0,100.0
yemba,Affordable and Clean Energy,gpt-4o-2024-11-20,5,1.0,1.0,0.0,0.0,100.0
yemba,Affordable and Clean Energy,gpt-5-2025-08-07,5,1.0,1.0,0.0,0.0,100.0
yemba,Clean Water and Sanitation,claude-sonnet-4-20250514,5,1.0,1.0,0.0,0.0,100.0
yemba,Clean Water and Sanitation,gemini-2.5-pro,5,1.0,1.0,0.0,0.0,100.0
yemba,Clean Water and Sanitation,gpt-4.1-2025-04-14,5,1.0,1.0,0.0,0.0,100.0
yemba,Clean Water and Sanitation,gpt-4o-2024-11-20,5,1.0,1.0,0.0,0.0,100.0
yemba,Clean Water and Sanitation,gpt-5-2025-08-07,5,1.0,1.0,0.0,0.0,100.0
yemba,Climate Action,claude-sonnet-4-20250514,5,1.0,1.0,0.0,0.0,100.0
yemba,Climate Action,gemini-2.5-pro,5,1.0,1.0,0.0,0.0,100.0
yemba,Climate Action,gpt-4.1-2025-04-14,5,1.0,1.0,0.0,0.0,100.0
yemba,Climate Action,gpt-4o-2024-11-20,5,1.2,1.0,0.0,0.0,100.0
yemba,Climate Action,gpt-5-2025-08-07,5,1.0,1.0,0.0,0.0,100.0
yemba,Crime and Law,claude-sonnet-4-20250514,5,1.0,1.0,0.0,0.0,100.0
yemba,Crime and Law,gemini-2.5-pro,5,1.0,1.0,0.0,0.0,100.0
yemba,Crime and Law,gpt-4.1-2025-04-14,5,1.0,1.0,0.0,0.0,100.0
yemba,Crime and Law,gpt-4o-2024-11-20,5,1.0,1.0,0.0,0.0,100.0
yemba,Crime and Law,gpt-5-2025-08-07,5,1.0,1.0,0.0,0.0,100.0
yemba,Culture,claude-sonnet-4-20250514,5,1.0,1.0,0.0,0.0,100.0
yemba,Culture,gemini-2.5-pro,5,1.0,1.0,0.0,0.0,100.0
yemba,Culture,gpt-4.1-2025-04-14,5,1.0,1.0,0.0,0.0,100.0
yemba,Culture,gpt-4o-2024-11-20,5,1.0,1.0,0.0,0.0,100.0
yemba,Culture,gpt-5-2025-08-07,5,1.0,1.0,0.0,0.0,100.0
yemba,Decent Work and Economic Growth,claude-sonnet-4-20250514,5,1.0,1.0,0.0,0.0,100.0
yemba,Decent Work and Economic Growth,gemini-2.5-pro,5,1.0,1.0,0.0,0.0,100.0
yemba,Decent Work and Economic Growth,gpt-4.1-2025-04-14,5,1.0,1.0,0.0,0.0,100.0
yemba,Decent Work and Economic Growth,gpt-4o-2024-11-20,5,1.0,1.0,0.0,0.0,100.0
