language,topic,model,n_samples,readability_mean,adequacy_mean,grammatically_correct_pct,real_words_pct,notable_error_pct
yoruba,Affordable and Clean Energy,claude-3-5-sonnet-20241022,5,6.8,6.8,100.0,100.0,0.0
yoruba,Affordable and Clean Energy,claude-sonnet-4-20250514,5,6.0,6.6,100.0,80.0,60.0
yoruba,Affordable and Clean Energy,gemini-2.5-pro,5,6.4,6.6,100.0,100.0,40.0
yoruba,Affordable and Clean Energy,gpt-4.1-2025-04-14,5,5.6,3.8,100.0,40.0,100.0
yoruba,Affordable and Clean Energy,gpt-5-2025-08-07,5,5.6,5.2,60.0,60.0,60.0
yoruba,Clean Water and Sanitation,claude-3-5-sonnet-20241022,5,6.8,6.6,100.0,100.0,20.0
yoruba,Clean Water and Sanitation,claude-sonnet-4-20250514,5,5.4,5.2,60.0,100.0,80.0
yoruba,Clean Water and Sanitation,gemini-2.5-pro,5,7.0,7.0,100.0,100.0,20.0
yoruba,Clean Water and Sanitation,gpt-4.1-2025-04-14,5,6.2,6.0,60.0,100.0,40.0
yoruba,Clean Water and Sanitation,gpt-5-2025-08-07,5,6.6,6.6,80.0,80.0,40.0
yoruba,Climate Action,claude-3-5-sonnet-20241022,5,6.4,5.8,100.0,100.0,40.0
yoruba,Climate Action,claude-sonnet-4-20250514,5,6.4,6.0,100.0,100.0,20.0
yoruba,Climate Action,gemini-2.5-pro,5,6.6,6.8,100.0,100.0,0.0
yoruba,Climate Action,gpt-4.1-2025-04-14,5,5.8,5.2,80.0,80.0,60.0
yoruba,Climate Action,gpt-5-2025-08-07,5,5.8,6.0,80.0,60.0,60.0
yoruba,Crime and Law,claude-3-5-sonnet-20241022,5,6.6,7.0,100.0,100.0,20.0
yoruba,Crime and Law,claude-sonnet-4-20250514,5,5.6,4.6,40.0,100.0,80.0
yoruba,Crime and Law,gemini-2.5-pro,5,6.8,7.0,100.0,100.0,0.0
yoruba,Crime and Law,gpt-4.1-2025-04-14,5,6.2,5.2,100.0,100.0,60.0
yoruba,Crime and Law,gpt-5-2025-08-07,5,6.4,6.6,100.0,100.0,20.0
yoruba,Culture,claude-3-5-sonnet-20241022,5,6.0,5.8,100.0,100.0,40.0
