ID,model,target_language_name,topic,iteration,timestamp,target_language_sentence,batch_id,custom_id,model_suffix,Clarity / Readability,Naturalness / Colloquial / Context appropriateness,Formal Correctness,Critical Error,Comments (Optional),clarity_score,naturalness_score,correctness_score,has_critical_error
PD-6462-2,gpt-5.1,Bura-Pabir,Vaccinations,2,2025-11-26T22:36:29.215998,"Nganlimi ka shigan shibdek, ma tlim lepkuva a vaysin.",batch_69277e265a388190b202e9ff5685e4fb,Bura-Pabir-Vaccinations-1,gpt-5_1,1 - Very difficult to read and understand (Effectively incomprehensible),1 - Very unnatural and robotic,1 - Very heavily flawed (Severe grammatical/spelling errors),"Yes – Critical Error Present (The output is nonsense, gibberish, or in the wrong language)",Note: The language on this line is not Bura Pabir,1,1,1,1
GP-5137-2,gpt-5,Bura-Pabir,Child health,2,2025-11-26T22:36:32.189743,Lafiyar yara a Kwaya Kusar na bukatar abinci mai gina jiki.,batch_69277e29eb6c8190bcce73373760b801,Bura-Pabir-Child_health-1,gpt-5,1 - Very difficult to read and understand (Effectively incomprehensible),1 - Very unnatural and robotic,1 - Very heavily flawed (Severe grammatical/spelling errors),"Yes – Critical Error Present (The output is nonsense, gibberish, or in the wrong language)",Note: The language on this line is Hausa,1,1,1,1
WP-3217-2,gpt-4.1,Bura-Pabir,Child health,2,2025-11-26T22:36:38.164337,Nwɛya ka mandza wa ga tsɔhyera kwathina nom.,batch_69277e3160f4819089421e28bd92aed3,Bura-Pabir-Child_health-1,gpt-4_1-2025-04-14,1 - Very difficult to read and understand (Effectively incomprehensible),1 - Very unnatural and robotic,1 - Very heavily flawed (Severe grammatical/spelling errors),"Yes – Critical Error Present (The output is nonsense, gibberish, or in the wrong language)",Note: The language on this line is not Bura Pabir,1,1,1,1
BS-0028-2,gemini-3-pro-preview,Bura-Pabir,Vaccinations,2,2025-11-27T14:33:20.461060,Mwa hara bwala mwa ta asibiti ka kila simba.,batches/xn96hddmsmab4gxju9nwzlb5agiu4fbh7drq,req-36,gemini-3-pro-preview,2 - Difficult to read and understand,5 - Somewhat natural,4 - Neutral / Neither perfect nor heavily flawed (Average),"Yes – Critical Error Present (The output is nonsense, gibberish, or in the wrong language)",,2,5,4,1
EF-7275-2,gemini-2.5-pro,Bura-Pabir,Medications,4,2025-11-27T14:33:09.146693,Ka sha magani na cida mtha a?,batches/422nbgaglf0xk9plswzzteojja833e9zldfk,req-43,gemini-2_5-pro,1 - Very difficult to read and understand (Effectively incomprehensible),1 - Very unnatural and robotic,1 - Very heavily flawed (Severe grammatical/spelling errors),"Yes – Critical Error Present (The output is nonsense, gibberish, or in the wrong language)",Note: The language on this line is Hausa,1,1,1,1
SA-7516-2,gemini-2.5-flash,Bura-Pabir,Child health,2,2025-11-27T14:33:15.058808,Ka yaka nwa nuwa ka tuka kwama sa?,batches/15f4z0fe57rmq4hocor0x0b84c1mb7sx84cg,req-31,gemini-2_5-flash,1 - Very difficult to read and understand (Effectively incomprehensible),1 - Very unnatural and robotic,1 - Very heavily flawed (Severe grammatical/spelling errors),"Yes – Critical Error Present (The output is nonsense, gibberish, or in the wrong language)",Note: The language on this line is not Bura Pabir,1,1,1,1
PV-0322-2,claude-opus-4-5-20251101,Bura-Pabir,Child health,2,2025-11-27T14:33:21.167872,Yar ku wa da lafiya idan ta ci abinci mai kyau da kuma barci sosai.,msgbatch_01WFtfnXzCE1Ce9Fg1cVTvtR,Bura-Pabir-Child_health-1,claude-opus-4-5-20250514,1 - Very difficult to read and understand (Effectively incomprehensible),1 - Very unnatural and robotic,1 - Very heavily flawed (Severe grammatical/spelling errors),"Yes – Critical Error Present (The output is nonsense, gibberish, or in the wrong language)",Note: The language on this line is not Bura Pabir,1,1,1,1
VY-6137-2,claude-sonnet-4-5-20250929,Bura-Pabir,Child health,2,2025-11-26T22:36:30.532445,Lawan ngura tali a hidi shili kwara ka barau ngana?,msgbatch_01F1muqzB14y75J3cffbGp4M,Bura-Pabir-Child_health-1,claude-sonnet-4-5-20250929,1 - Very difficult to read and understand (Effectively incomprehensible),1 - Very unnatural and robotic,1 - Very heavily flawed (Severe grammatical/spelling errors),"Yes – Critical Error Present (The output is nonsense, gibberish, or in the wrong language)",Note: The language on this line is not Bura Pabir,1,1,1,1
RK-4631-2,claude-sonnet-4-20250514,Bura-Pabir,Vaccinations,5,2025-11-26T22:36:38.761019,Allura na barka da ciwon daji da makaman rigakafi.,msgbatch_01NTGGLbg99xrS1C6PBadDGf,Bura-Pabir-Vaccinations-4,claude-sonnet-4-20250514,1 - Very difficult to read and understand (Effectively incomprehensible),1 - Very unnatural and robotic,1 - Very heavily flawed (Severe grammatical/spelling errors),"Yes – Critical Error Present (The output is nonsense, gibberish, or in the wrong language)",Note: The language on this line is Hausa,1,1,1,1
GK-6284-2,claude-haiku-4-5-20251001,Bura-Pabir,Child health,2,2025-11-26T22:36:31.140481,Yar karua dole ne in sha aiki da malami kada in kashe shi.,msgbatch_01Mk9b3etuiFhXGcEvvaRdgW,Bura-Pabir-Child_health-1,claude-haiku-4-5-20251001,1 - Very difficult to read and understand (Effectively incomprehensible),1 - Very unnatural and robotic,1 - Very heavily flawed (Severe grammatical/spelling errors),"Yes – Critical Error Present (The output is nonsense, gibberish, or in the wrong language)",Note: The language on this line is Hausa,1,1,1,1
KS-2719-2,bedrock-claude-3-5-sonnet,Bura-Pabir,Vaccinations,2,2025-11-26T23:44:19.891033,Ka mwara tikta nthlaku adi akwa hospital ka mthlaku askwa?,,,claude-3-5-sonnet-20241022,5 - Somewhat easy to read and understand,5 - Somewhat natural,4 - Neutral / Neither perfect nor heavily flawed (Average),"Yes – Critical Error Present (The output is nonsense, gibberish, or in the wrong language)",,5,5,4,1
