ID,model,target_language_name,topic,iteration,timestamp,target_language_sentence,batch_id,custom_id,model_suffix,Clarity / Readability,Naturalness / Colloquial / Context appropriateness,Formal Correctness,Critical Error,Comments (Optional),clarity_score,naturalness_score,correctness_score,has_critical_error
YT-0811-2,gpt-5.1,Marghi,Vaccinations,2,2025-11-27T14:33:10.113083,"Ladi hwa mbara dakta shi, a yi masa allurar riga-kafi.",batch_69277e265a388190b202e9ff5685e4fb,Marghi-Vaccinations-1,gpt-5_1,4 - Neutral / Neither easy nor difficult to read,4 - Neutral / Neither natural nor unnatural,3 - Somewhat flawed,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",Not Margi,4,4,3,1
ST-1845-2,gpt-5,Marghi,Child health,2,2025-11-27T14:33:12.986657,"A Maiduguri, lafiyar yaro ta dogara da ruwan sha tsabta.",batch_69277e29eb6c8190bcce73373760b801,Marghi-Child_health-1,gpt-5,6 - Easy to read and understand,4 - Neutral / Neither natural nor unnatural,5 - Somewhat correct (Minor errors),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",Hausa Language,6,4,5,1
BQ-5588-2,gpt-4.1,Marghi,Child health,2,2025-11-27T14:33:18.579086,"Ngamye wurdum ka gimi, ai gomna to na dara dai.",batch_69277e3160f4819089421e28bd92aed3,Marghi-Child_health-1,gpt-4_1-2025-04-14,2 - Difficult to read and understand,4 - Neutral / Neither natural nor unnatural,4 - Neutral / Neither perfect nor heavily flawed (Average),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",Not Margi Language,2,4,4,1
RA-8864-2,gemini-3-pro-preview,Marghi,Vaccinations,2,2025-11-27T14:33:20.461023,Naja kəl bzɨr nyu ar asibiti ga ha allura?,batches/xn96hddmsmab4gxju9nwzlb5agiu4fbh7drq,req-6,gemini-3-pro-preview,4 - Neutral / Neither easy nor difficult to read,6 - Natural,4 - Neutral / Neither perfect nor heavily flawed (Average),No – No Critical Error (The output is a valid sentence in the target language),,4,6,4,0
CX-6638-2,gemini-2.5-pro,Marghi,Medications,4,2025-11-27T14:33:09.146613,Ka sha ukyi na hyelhyel a?,batches/422nbgaglf0xk9plswzzteojja833e9zldfk,req-13,gemini-2_5-pro,5 - Somewhat easy to read and understand,4 - Neutral / Neither natural nor unnatural,4 - Neutral / Neither perfect nor heavily flawed (Average),No – No Critical Error (The output is a valid sentence in the target language),,5,4,4,0
TW-9073-2,gemini-2.5-flash,Marghi,Child health,3,2025-11-27T14:33:15.058724,Ɗiɓəla kə ci vətə fə də dáŋə wáɗə.,batches/15f4z0fe57rmq4hocor0x0b84c1mb7sx84cg,req-2,gemini-2_5-flash,2 - Difficult to read and understand,4 - Neutral / Neither natural nor unnatural,4 - Neutral / Neither perfect nor heavily flawed (Average),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",Not Margi,2,4,4,1
UJ-5454-2,claude-opus-4-5-20251101,Marghi,Child health,2,2025-11-27T14:33:21.165936,Yara ku sai su sha magani domin lafiyarsu ta inganta.,msgbatch_01WFtfnXzCE1Ce9Fg1cVTvtR,Marghi-Child_health-1,claude-opus-4-5-20250514,6 - Easy to read and understand,3 - Somewhat unnatural,3 - Somewhat flawed,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",Hausa Language,6,3,3,1
GA-8787-2,claude-sonnet-4-5-20250929,Marghi,Child health,2,2025-11-27T14:33:10.888743,Liman na gida du zləŋ nə ptu kaɗa ka ɗaf sə guzum.,msgbatch_01F1muqzB14y75J3cffbGp4M,Marghi-Child_health-1,claude-sonnet-4-5-20250929,3 - Somewhat difficult to read and understand,4 - Neutral / Neither natural nor unnatural,4 - Neutral / Neither perfect nor heavily flawed (Average),No – No Critical Error (The output is a valid sentence in the target language),,3,4,4,0
HP-5583-2,claude-sonnet-4-20250514,Marghi,Vaccinations,2,2025-11-27T14:33:19.164016,Rigima na barka da ciwon sankara da sauran cututtuka masu hadari.,msgbatch_01NTGGLbg99xrS1C6PBadDGf,Marghi-Vaccinations-1,claude-sonnet-4-20250514,6 - Easy to read and understand,7 - Extremely natural and colloquial (Native-speaker level),6 - Formally correct,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",Hausa Language,6,7,6,1
WE-0043-2,claude-haiku-4-5-20251001,Marghi,Child health,2,2025-11-27T14:33:11.664014,Yar na gida ya sha ruwan da yake da lafiya kaicettattu.,msgbatch_01Mk9b3etuiFhXGcEvvaRdgW,Marghi-Child_health-1,claude-haiku-4-5-20251001,4 - Neutral / Neither easy nor difficult to read,4 - Neutral / Neither natural nor unnatural,3 - Somewhat flawed,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",Hausa Language,4,4,3,1
OO-4460-2,bedrock-claude-3-5-sonnet,Marghi,Vaccinations,2,2025-11-26T23:44:43.504612,Alku ja ali mwal nga ɗu adakur nga tira yimi.,,,claude-3-5-sonnet-20241022,5 - Somewhat easy to read and understand,4 - Neutral / Neither natural nor unnatural,4 - Neutral / Neither perfect nor heavily flawed (Average),No – No Critical Error (The output is a valid sentence in the target language),,5,4,4,0
