ID,model,target_language_name,topic,iteration,timestamp,target_language_sentence,batch_id,custom_id,model_suffix,Clarity / Readability,Naturalness / Colloquial / Context appropriateness,Formal Correctness,Critical Error,Comments (Optional),clarity_score,naturalness_score,correctness_score,has_critical_error
GP-4198-2,gpt-5.1,Shuwa Arabic,Vaccinations,2,2025-11-26T22:36:29.215635,"A shīrī Maruá, likīta ya ce allurar rigakafi tana kare yāra.",batch_69277e265a388190b202e9ff5685e4fb,ShuwaArabic-Vaccinations-1,gpt-5_1,1 - Very difficult to read and understand (Effectively incomprehensible),1 - Very unnatural and robotic,1 - Very heavily flawed (Severe grammatical/spelling errors),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",This is Hausa.,1,1,1,1
KC-9405-2,gpt-5,Shuwa Arabic,Child health,2,2025-11-26T22:36:32.189567,صحة الطفل مهمة، أعطيه ماء نظيف، وديه مركز صحة إذا مريض.,batch_69277e29eb6c8190bcce73373760b801,ShuwaArabic-Child_health-1,gpt-5,3 - Somewhat difficult to read and understand,4 - Neutral / Neither natural nor unnatural,4 - Neutral / Neither perfect nor heavily flawed (Average),No – No Critical Error (The output is a valid sentence in the target language),,3,4,4,0
JC-1565-2,gpt-4.1,Shuwa Arabic,Child health,2,2025-11-26T22:36:38.164007,Yara suna bukatar abinci mai kyau don lafiyarsu ta zama daidai.,batch_69277e3160f4819089421e28bd92aed3,ShuwaArabic-Child_health-1,gpt-4_1-2025-04-14,1 - Very difficult to read and understand (Effectively incomprehensible),4 - Neutral / Neither natural nor unnatural,4 - Neutral / Neither perfect nor heavily flawed (Average),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",This is Hausa.,1,4,4,1
EX-9425-2,gemini-3-pro-preview,Shuwa Arabic,Vaccinations,2,2025-11-27T14:33:20.461042,Shilu al-iyaal le l-lopital ashan yaduuhum al-talgiih gabul al-kharif yaaji.,batches/xn96hddmsmab4gxju9nwzlb5agiu4fbh7drq,req-21,gemini-3-pro-preview,2 - Difficult to read and understand,2 - Unnatural,4 - Neutral / Neither perfect nor heavily flawed (Average),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",,2,2,4,1
US-8460-2,gemini-2.5-pro,Shuwa Arabic,Medications,4,2025-11-27T14:33:09.146654,Al doktoor atani al dawa da le al gohha.,batches/422nbgaglf0xk9plswzzteojja833e9zldfk,req-28,gemini-2_5-pro,6 - Easy to read and understand,6 - Natural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,6,6,5,0
MC-4544-2,gemini-2.5-flash,Shuwa Arabic,Child health,2,2025-11-27T14:33:15.058766,Yaya za mu tabbatar yaranmu suna da lafiya a kauye?,batches/15f4z0fe57rmq4hocor0x0b84c1mb7sx84cg,req-16,gemini-2_5-flash,1 - Very difficult to read and understand (Effectively incomprehensible),4 - Neutral / Neither natural nor unnatural,4 - Neutral / Neither perfect nor heavily flawed (Average),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",This is Hausa.,1,4,4,1
ZO-7174-2,claude-opus-4-5-20251101,Shuwa Arabic,Child health,2,2025-11-27T14:33:21.166926,لازم نودي الياهل للمستشفى عشان ياخذ التطعيمات حقته كل سنة.,msgbatch_01WFtfnXzCE1Ce9Fg1cVTvtR,ShuwaArabic-Child_health-1,claude-opus-4-5-20250514,5 - Somewhat easy to read and understand,4 - Neutral / Neither natural nor unnatural,3 - Somewhat flawed,No – No Critical Error (The output is a valid sentence in the target language),,5,4,3,0
KZ-8156-2,claude-sonnet-4-5-20250929,Shuwa Arabic,Child health,2,2025-11-26T22:36:30.531442,Yaron nan yana da lafiya sosai kuma yana ci mai kyau.,msgbatch_01F1muqzB14y75J3cffbGp4M,ShuwaArabic-Child_health-1,claude-sonnet-4-5-20250929,1 - Very difficult to read and understand (Effectively incomprehensible),4 - Neutral / Neither natural nor unnatural,4 - Neutral / Neither perfect nor heavily flawed (Average),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",This is Hausa.,1,4,4,1
QK-9282-2,claude-sonnet-4-20250514,Shuwa Arabic,Vaccinations,2,2025-11-26T22:36:38.760305,Allura ta yi masa rigakafi don kare shi daga cutuka.,msgbatch_01NTGGLbg99xrS1C6PBadDGf,ShuwaArabic-Vaccinations-1,claude-sonnet-4-20250514,1 - Very difficult to read and understand (Effectively incomprehensible),4 - Neutral / Neither natural nor unnatural,4 - Neutral / Neither perfect nor heavily flawed (Average),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",This is Hausa.,1,4,4,1
TM-6678-2,claude-haiku-4-5-20251001,Shuwa Arabic,Child health,1,2025-11-26T22:36:31.138773,Yara dole su sha ruwan tsafi ko da kafe don kasua lafiya.,msgbatch_01Mk9b3etuiFhXGcEvvaRdgW,ShuwaArabic-Child_health-0,claude-haiku-4-5-20251001,1 - Very difficult to read and understand (Effectively incomprehensible),4 - Neutral / Neither natural nor unnatural,4 - Neutral / Neither perfect nor heavily flawed (Average),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",This is Hausa.,1,4,4,1
RY-3123-2,bedrock-claude-3-5-sonnet,Shuwa Arabic,Vaccinations,2,2025-11-26T23:45:11.011213,Yā kamàta mū sami allūra dōmin kāre mu dàga cūtuttuka.,,,claude-3-5-sonnet-20241022,1 - Very difficult to read and understand (Effectively incomprehensible),4 - Neutral / Neither natural nor unnatural,4 - Neutral / Neither perfect nor heavily flawed (Average),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",This is Hausa.,1,4,4,1
