language,topic,model,n_samples,readability_mean,adequacy_mean,grammatically_correct_pct,real_words_pct,notable_error_pct
ewondo,Affordable and Clean Energy,claude-3-5-sonnet-20241022,5,1.0,1.0,0.0,0.0,100.0
ewondo,Affordable and Clean Energy,claude-sonnet-4-20250514,5,1.0,1.0,0.0,0.0,100.0
ewondo,Affordable and Clean Energy,gemini-2.5-pro,5,1.2,1.2,0.0,0.0,100.0
ewondo,Affordable and Clean Energy,gpt-4.1-2025-04-14,5,1.0,1.0,0.0,0.0,100.0
ewondo,Affordable and Clean Energy,gpt-5-2025-08-07,5,1.0,1.0,0.0,0.0,100.0
ewondo,Clean Water and Sanitation,claude-3-5-sonnet-20241022,5,1.0,1.0,0.0,0.0,100.0
ewondo,Clean Water and Sanitation,claude-sonnet-4-20250514,5,1.0,1.0,0.0,0.0,100.0
ewondo,Clean Water and Sanitation,gemini-2.5-pro,5,1.0,1.0,0.0,0.0,100.0
ewondo,Clean Water and Sanitation,gpt-4.1-2025-04-14,5,1.0,1.0,0.0,0.0,100.0
ewondo,Clean Water and Sanitation,gpt-5-2025-08-07,5,1.0,1.0,0.0,0.0,100.0
ewondo,Climate Action,claude-3-5-sonnet-20241022,5,1.0,1.0,0.0,0.0,100.0
ewondo,Climate Action,claude-sonnet-4-20250514,5,1.0,1.0,0.0,0.0,100.0
ewondo,Climate Action,gemini-2.5-pro,5,1.0,1.0,0.0,0.0,100.0
ewondo,Climate Action,gpt-4.1-2025-04-14,5,1.0,1.0,0.0,0.0,100.0
ewondo,Climate Action,gpt-5-2025-08-07,5,1.0,1.0,0.0,0.0,100.0
ewondo,Crime and Law,claude-3-5-sonnet-20241022,5,1.0,1.0,0.0,0.0,100.0
ewondo,Crime and Law,claude-sonnet-4-20250514,5,1.2,1.2,0.0,0.0,100.0
ewondo,Crime and Law,gemini-2.5-pro,5,1.0,1.0,0.0,0.0,100.0
ewondo,Crime and Law,gpt-4.1-2025-04-14,5,1.0,1.0,0.0,0.0,100.0
ewondo,Crime and Law,gpt-5-2025-08-07,5,1.0,1.0,0.0,0.0,100.0
ewondo,Culture,claude-3-5-sonnet-20241022,5,1.0,1.0,0.0,0.0,100.0
ewondo,Culture,claude-sonnet-4-20250514,5,1.0,1.0,0.0,0.0,100.0
ewondo,Culture,gemini-2.5-pro,5,1.0,1.0,0.0,0.0,100.0
ewondo,Culture,gpt-4.1-2025-04-14,5,1.0,1.0,0.0,0.0,100.0
ewondo,Culture,gpt-5-2025-08-07,5,1.2,1.2,0.0,0.0,100.0
ewondo,Decent Work and Economic Growth,claude-3-5-sonnet-20241022,5,1.0,1.0,0.0,0.0,100.0
ewondo,Decent Work and Economic Growth,claude-sonnet-4-20250514,5,1.0,1.0,0.0,0.0,100.0
