language,topic,model,n_samples,readability_mean,adequacy_mean,grammatically_correct_pct,real_words_pct,notable_error_pct
luo,Affordable and Clean Energy,claude-3-5-sonnet-20241022,5,6.0,5.4,20.0,100.0,60.0
luo,Affordable and Clean Energy,claude-sonnet-4-20250514,5,5.0,4.2,20.0,60.0,80.0
luo,Affordable and Clean Energy,gemini-2.5-pro,5,6.2,5.8,60.0,80.0,40.0
luo,Affordable and Clean Energy,gpt-4.1-2025-04-14,5,2.4,2.2,0.0,40.0,40.0
luo,Affordable and Clean Energy,gpt-5-2025-08-07,5,4.4,3.6,20.0,80.0,80.0
luo,Clean Water and Sanitation,claude-3-5-sonnet-20241022,5,5.2,5.0,0.0,80.0,100.0
luo,Clean Water and Sanitation,claude-sonnet-4-20250514,5,5.0,4.6,20.0,80.0,60.0
luo,Clean Water and Sanitation,gemini-2.5-pro,5,5.6,5.6,40.0,40.0,60.0
luo,Clean Water and Sanitation,gpt-4.1-2025-04-14,5,4.6,3.4,0.0,100.0,60.0
luo,Clean Water and Sanitation,gpt-5-2025-08-07,5,5.8,5.8,20.0,100.0,60.0
luo,Climate Action,claude-3-5-sonnet-20241022,5,5.6,5.4,20.0,100.0,60.0
luo,Climate Action,claude-sonnet-4-20250514,5,6.2,6.0,60.0,100.0,40.0
luo,Climate Action,gemini-2.5-pro,5,5.2,4.8,20.0,40.0,80.0
luo,Climate Action,gpt-4.1-2025-04-14,5,2.8,2.2,0.0,20.0,80.0
luo,Climate Action,gpt-5-2025-08-07,5,4.4,3.0,0.0,60.0,100.0
luo,Crime and Law,claude-3-5-sonnet-20241022,5,4.6,4.0,40.0,100.0,20.0
luo,Crime and Law,claude-sonnet-4-20250514,5,6.6,6.6,80.0,100.0,40.0
luo,Crime and Law,gemini-2.5-pro,5,6.2,5.6,40.0,80.0,60.0
luo,Crime and Law,gpt-4.1-2025-04-14,5,3.0,2.4,0.0,60.0,100.0
luo,Crime and Law,gpt-5-2025-08-07,5,6.2,5.6,60.0,80.0,60.0
luo,Culture,claude-3-5-sonnet-20241022,5,4.8,4.8,60.0,60.0,40.0
luo,Culture,claude-sonnet-4-20250514,5,6.2,6.2,60.0,100.0,40.0
luo,Culture,gemini-2.5-pro,5,6.4,6.0,60.0,100.0,40.0
luo,Culture,gpt-4.1-2025-04-14,5,3.6,3.0,0.0,60.0,80.0
luo,Culture,gpt-5-2025-08-07,5,6.4,6.4,20.0,80.0,60.0
luo,Decent Work and Economic Growth,claude-3-5-sonnet-20241022,5,5.8,5.4,40.0,100.0,40.0
luo,Decent Work and Economic Growth,claude-sonnet-4-20250514,5,6.4,5.4,40.0,100.0,60.0
luo,Decent Work and Economic Growth,gemini-2.5-pro,5,6.6,6.8,80.0,80.0,20.0
luo,Decent Work and Economic Growth,gpt-4.1-2025-04-14,5,4.6,4.6,20.0,80.0,80.0
luo,Decent Work and Economic Growth,gpt-5-2025-08-07,5,5.4,4.6,0.0,60.0,60.0
luo,Disasters and Accidents,claude-3-5-sonnet-20241022,5,4.8,3.8,0.0,80.0,100.0
luo,Disasters and Accidents,claude-sonnet-4-20250514,5,6.0,5.0,40.0,80.0,80.0
luo,Disasters and Accidents,gemini-2.5-pro,5,6.4,6.4,60.0,100.0,40.0
luo,Disasters and Accidents,gpt-4.1-2025-04-14,5,2.8,2.0,0.0,80.0,80.0
luo,Disasters and Accidents,gpt-5-2025-08-07,5,5.8,5.2,60.0,60.0,20.0
luo,Entertainment,claude-3-5-sonnet-20241022,5,6.2,6.2,40.0,100.0,60.0
luo,Entertainment,claude-sonnet-4-20250514,5,4.6,4.6,0.0,100.0,80.0
luo,Entertainment,gemini-2.5-pro,5,6.2,6.2,40.0,80.0,20.0
luo,Entertainment,gpt-4.1-2025-04-14,5,3.2,2.8,0.0,80.0,100.0
luo,Entertainment,gpt-5-2025-08-07,5,6.2,5.8,60.0,100.0,40.0
luo,Environment,claude-3-5-sonnet-20241022,5,6.4,6.4,20.0,100.0,40.0
luo,Environment,claude-sonnet-4-20250514,5,5.2,3.8,20.0,80.0,80.0
luo,Environment,gemini-2.5-pro,5,6.6,6.6,80.0,80.0,20.0
luo,Environment,gpt-4.1-2025-04-14,5,3.8,3.4,0.0,40.0,100.0
luo,Environment,gpt-5-2025-08-07,5,5.2,4.6,40.0,60.0,80.0
luo,Gender Equality,claude-3-5-sonnet-20241022,5,6.2,5.8,40.0,60.0,60.0
luo,Gender Equality,claude-sonnet-4-20250514,5,5.8,4.8,40.0,80.0,60.0
