language,topic,model,n_samples,readability_mean,adequacy_mean,grammatically_correct_pct,real_words_pct,notable_error_pct
chichewa,Affordable and Clean Energy,claude-3-5-sonnet-20241022,5,7.0,6.2,100.0,100.0,0.0
chichewa,Affordable and Clean Energy,claude-sonnet-4-20250514,5,6.8,6.4,80.0,80.0,0.0
chichewa,Affordable and Clean Energy,gemini-2.5-pro,5,6.8,6.4,100.0,100.0,0.0
chichewa,Affordable and Clean Energy,gpt-4.1-2025-04-14,5,7.0,6.6,100.0,100.0,0.0
chichewa,Affordable and Clean Energy,gpt-5-2025-08-07,5,6.6,6.4,100.0,80.0,0.0
chichewa,Clean Water and Sanitation,claude-3-5-sonnet-20241022,5,6.8,6.4,100.0,100.0,0.0
chichewa,Clean Water and Sanitation,claude-sonnet-4-20250514,5,6.6,6.2,100.0,100.0,20.0
chichewa,Clean Water and Sanitation,gemini-2.5-pro,5,7.0,6.6,100.0,100.0,0.0
chichewa,Clean Water and Sanitation,gpt-4.1-2025-04-14,5,6.8,6.4,100.0,100.0,0.0
chichewa,Clean Water and Sanitation,gpt-5-2025-08-07,5,7.0,6.6,100.0,100.0,0.0
chichewa,Climate Action,claude-3-5-sonnet-20241022,5,7.0,6.4,100.0,100.0,20.0
chichewa,Climate Action,claude-sonnet-4-20250514,5,7.0,6.6,100.0,100.0,0.0
chichewa,Climate Action,gemini-2.5-pro,5,7.0,6.8,100.0,100.0,0.0
chichewa,Climate Action,gpt-4.1-2025-04-14,5,6.6,6.0,100.0,100.0,20.0
chichewa,Climate Action,gpt-5-2025-08-07,5,6.8,6.8,100.0,100.0,0.0
chichewa,Crime and Law,claude-3-5-sonnet-20241022,5,7.0,6.6,100.0,100.0,0.0
chichewa,Crime and Law,claude-sonnet-4-20250514,5,7.0,6.6,100.0,100.0,0.0
chichewa,Crime and Law,gemini-2.5-pro,5,7.0,6.8,100.0,100.0,0.0
chichewa,Crime and Law,gpt-4.1-2025-04-14,5,7.0,6.6,100.0,100.0,0.0
chichewa,Crime and Law,gpt-5-2025-08-07,5,6.4,6.6,100.0,80.0,0.0
chichewa,Culture,claude-3-5-sonnet-20241022,5,7.0,6.4,100.0,100.0,0.0
chichewa,Culture,claude-sonnet-4-20250514,5,7.0,6.6,100.0,100.0,0.0
chichewa,Culture,gemini-2.5-pro,5,7.0,7.0,100.0,100.0,0.0
