language,topic,model,n_samples,readability_mean,adequacy_mean,grammatically_correct_pct,real_words_pct,notable_error_pct
wolof,Affordable and Clean Energy,claude-3-5-sonnet-20241022,5,4.0,4.0,80.0,100.0,80.0
wolof,Affordable and Clean Energy,claude-sonnet-4-20250514,5,2.2,2.4,80.0,100.0,100.0
wolof,Affordable and Clean Energy,gemini-2.5-pro,5,6.6,6.6,100.0,80.0,20.0
wolof,Affordable and Clean Energy,gpt-4.1-2025-04-14,5,3.0,3.4,60.0,100.0,80.0
wolof,Affordable and Clean Energy,gpt-5-2025-08-07,5,4.4,5.0,100.0,100.0,60.0
wolof,Clean Water and Sanitation,claude-3-5-sonnet-20241022,5,6.2,6.8,100.0,100.0,20.0
wolof,Clean Water and Sanitation,claude-sonnet-4-20250514,5,2.4,2.6,80.0,80.0,100.0
wolof,Clean Water and Sanitation,gemini-2.5-pro,5,6.4,6.4,100.0,100.0,40.0
wolof,Clean Water and Sanitation,gpt-4.1-2025-04-14,5,2.8,2.8,80.0,100.0,100.0
wolof,Clean Water and Sanitation,gpt-5-2025-08-07,5,5.0,4.8,100.0,100.0,80.0
wolof,Climate Action,claude-3-5-sonnet-20241022,5,6.0,6.0,100.0,100.0,20.0
wolof,Climate Action,claude-sonnet-4-20250514,5,2.0,2.4,80.0,80.0,100.0
wolof,Climate Action,gemini-2.5-pro,5,6.6,6.6,100.0,100.0,40.0
wolof,Climate Action,gpt-4.1-2025-04-14,5,2.4,2.6,80.0,100.0,100.0
wolof,Climate Action,gpt-5-2025-08-07,5,4.0,3.8,80.0,100.0,80.0
wolof,Crime and Law,claude-3-5-sonnet-20241022,5,4.2,4.6,100.0,80.0,60.0
wolof,Crime and Law,claude-sonnet-4-20250514,5,1.8,2.4,80.0,100.0,100.0
wolof,Crime and Law,gemini-2.5-pro,5,5.2,5.6,100.0,100.0,60.0
wolof,Crime and Law,gpt-4.1-2025-04-14,5,3.0,3.4,100.0,100.0,100.0
wolof,Crime and Law,gpt-5-2025-08-07,5,4.4,4.6,100.0,100.0,80.0
wolof,Culture,claude-3-5-sonnet-20241022,5,4.6,4.8,100.0,100.0,60.0
wolof,Culture,claude-sonnet-4-20250514,5,3.6,3.6,80.0,100.0,80.0
wolof,Culture,gemini-2.5-pro,5,5.8,5.6,100.0,100.0,40.0
wolof,Culture,gpt-4.1-2025-04-14,5,3.2,3.2,60.0,100.0,80.0
wolof,Culture,gpt-5-2025-08-07,5,5.4,5.0,100.0,100.0,40.0
wolof,Decent Work and Economic Growth,claude-3-5-sonnet-20241022,5,6.6,6.6,100.0,80.0,20.0
wolof,Decent Work and Economic Growth,claude-sonnet-4-20250514,5,3.2,3.4,100.0,100.0,80.0
wolof,Decent Work and Economic Growth,gemini-2.5-pro,5,7.0,7.0,100.0,100.0,0.0
wolof,Decent Work and Economic Growth,gpt-4.1-2025-04-14,5,3.6,3.6,100.0,100.0,80.0
wolof,Decent Work and Economic Growth,gpt-5-2025-08-07,5,3.8,3.8,100.0,100.0,80.0
wolof,Disasters and Accidents,claude-3-5-sonnet-20241022,4,4.25,4.5,100.0,100.0,75.0
